"ID","Description","seed_fraction","median_NES","median_p.adjust"
"hsa00640","Propanoate metabolism",0,0.850885787912368,0.85150122827342
"hsa00565","Ether lipid metabolism",0,-0.85823070697783,0.843308625418026
"hsa04620","Toll-like receptor signaling pathway",0,-0.85593428357185,0.865787590387419
"hsa04210","Apoptosis",0,-0.845938343336998,0.879372636679507
"hsa04927","Cortisol synthesis and secretion",0,-0.847381760223682,0.864654231144406
"hsa05204","Chemical carcinogenesis - DNA adducts",0,-0.855950033300324,0.849350334905346
"hsa05030","Cocaine addiction",0,-0.844924888221754,0.855251441866042
"hsa05163","Human cytomegalovirus infection",0,-0.834795072654651,0.91573621965458
"hsa04926","Relaxin signaling pathway",0,-0.851113430489755,0.876863050366087
"hsa05221","Acute myeloid leukemia",0,0.856989707975203,0.874706568980715
"hsa00410","beta-Alanine metabolism",0,0.838747520410197,0.860775001036082
"hsa00770","Pantothenate and CoA biosynthesis",0,-0.848651497544894,0.83988252007513
"hsa04980","Cobalamin transport and metabolism",0,0.844334797192797,0.826625706945424
"hsa04062","Chemokine signaling pathway",0,-0.829546266943212,0.911358191440696
"hsa05220","Chronic myeloid leukemia",0,0.849779468061655,0.884070668627562
"hsa00980","Metabolism of xenobiotics by cytochrome P450",0,0.837699716063007,0.881345591449844
"hsa00512","Mucin type O-glycan biosynthesis",0,0.831585317510066,0.864259204465224
"hsa05224","Breast cancer",0,-0.830122252533491,0.902499716485085
"hsa04974","Protein digestion and absorption",0,-0.827790380377173,0.883550661000974
"hsa05165","Human papillomavirus infection",0,-0.827081675396648,0.951044098558541
"hsa00730","Thiamine metabolism",0,-0.814580841436288,0.857897734574201
"hsa05225","Hepatocellular carcinoma",0,0.810190164137209,0.992619785070961
"hsa05219","Bladder cancer",0,0.83514906999302,0.86831930339354
"hsa04920","Adipocytokine signaling pathway",0,-0.82688806773863,0.878651931605716
"hsa04915","Estrogen signaling pathway",0,-0.8306287526748,0.898254930428111
"hsa00982","Drug metabolism - cytochrome P450",0,0.794741550458733,0.930626095512148
"hsa00071","Fatty acid degradation",0,-0.811807871882265,0.874008621639693
"hsa04664","Fc epsilon RI signaling pathway",0,-0.814229527274195,0.884978845025368
"hsa05162","Measles",0,-0.813222129217306,0.916137207464024
"hsa00670","One carbon pool by folate",0,0.813455737918036,0.874008621639693
"hsa04928","Parathyroid hormone synthesis, secretion and action",0,-0.806906831197165,0.913353254576355
"hsa02010","ABC transporters",0,-0.806042268861961,0.879295592338301
"hsa00511","Other glycan degradation",0,-0.784772019279415,0.870695551865681
"hsa04657","IL-17 signaling pathway",0,-0.76154834451639,0.948646475760038
"hsa05226","Gastric cancer",0,-0.756391658550734,0.979226096304852
"hsa00790","Folate biosynthesis",0,0.749275023131898,0.914083857839461
"hsa00220","Arginine biosynthesis",0,-0.753092605447767,0.895852487486052
"hsa03272","Virion - Hepatitis viruses",0,-0.749671777687275,0.916739844356609
"hsa01523","Antifolate resistance",0,-0.743685790854493,0.910021487968402
"hsa05211","Renal cell carcinoma",0,-0.735569067368245,0.953772502644904
"hsa00140","Steroid hormone biosynthesis",0,-0.728061603986446,0.952103842355843
"hsa03015","mRNA surveillance pathway",0,-0.706787330491437,0.986222926023411
"hsa04923","Regulation of lipolysis in adipocytes",0,0.695456796419108,0.993049497222781
"hsa00531","Glycosaminoglycan degradation",0,0.663524391714933,0.957034652873893
"hsa05217","Basal cell carcinoma",0,0.667453656061886,0.9968942602846
"hsa03273","Virion - Lassa virus and SFTS virus",0,-0.656107448441313,0.952395477794462
"hsa00053","Ascorbate and aldarate metabolism",0,-0.662078402213888,0.956577927874233
"hsa01040","Biosynthesis of unsaturated fatty acids",0,-0.649539846018312,0.961319045665846
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",0,-0.628496819686908,0.970854186670238
"hsa04975","Fat digestion and absorption",0,-0.548956154757986,0.998516238819507
