"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
2.06373166666667,5.62328416666667,3.94839886332466,0.000689141346626582,0.067380988745444,-0.325297530557229,"FAM123A"
1.38807666666667,3.75704833333333,3.94502186861708,0.00069481998338391,0.0674271356304372,-0.332622891876143,"PRR18"
2.96971833333333,6.3598925,3.94351916586841,0.000697361779675862,0.0674271356304372,-0.33588237566185,"C11orf52"
-2.11316333333333,6.62532,-3.93955182227324,0.000704116891461511,0.0677041457403101,-0.344487350099968,"HPRT1"
-1.70251666666667,7.72679333333333,-3.92826095310753,0.000723698925629943,0.0684165914366041,-0.368972526680554,"MAP2"
-1.75047833333333,5.07805583333333,-3.92542475455589,0.000728702109855761,0.0684165914366041,-0.375122066416525,"STUB1"
1.17288666666667,3.12378,3.92441702466169,0.0007304880387217,0.0684165914366041,-0.377306962447754,"CENPB"
1.46862666666667,3.763665,3.92309458600226,0.000732838291234185,0.0684165914366041,-0.380174112175511,"PXN"
2.24655833333333,5.66641916666667,3.92249239552092,0.000733910994117911,0.0684165914366041,-0.381479678521282,"LDHD"
-1.86740666666666,5.82544333333333,-3.92070331340433,0.00073710714204436,0.0684165914366041,-0.385358351252854,"TDRKH"
-2.35475666666667,5.35892333333333,-3.91556681559198,0.000746360260123179,0.0684165914366041,-0.396493200550222,"GABRB3"
-2.240455,5.5098725,-3.91496376287353,0.000747454153267917,0.0684165914366041,-0.397800402663672,"MRPL28"
-2.17240833333333,7.09949916666667,-3.91331027994647,0.000750461610452688,0.0684165914366041,-0.401384463517489,"PSMA1"
1.72386166666667,5.32576083333333,3.91310429701796,0.000750837104366317,0.0684165914366041,-0.401830938507939,"CSNK1G2"
-1.874215,4.3836575,-3.90829907002945,0.000759649781013856,0.0688590874414851,-0.412245796270348,"EML4"
2.52036666666667,5.20542666666667,3.89863669288092,0.000777681917540204,0.0697749838674687,-0.433184305774907,"MS4A6A"
1.69257666666667,7.12113166666667,3.89691626052406,0.000780936830728067,0.0697749838674687,-0.436911973643353,"ZC3HAV1"
-1.830765,6.0844025,-3.89560262439109,0.000783431206649201,0.0697749838674687,-0.439758124389737,"PSMA2"
1.35470166666667,3.48346583333333,3.89436396767156,0.000785790441164323,0.0697749838674687,-0.442441735518378,"LRP2BP"
-1.92283666666667,4.042435,-3.87062630412924,0.000832387604562453,0.0730237974018044,-0.493853661472632,"ADAM12"
-2.40887833333333,4.1343725,-3.87031598444008,0.000833014542699079,0.0730237974018044,-0.494525545368868,"PAPPA"
1.30548666666667,3.52430333333333,3.86935189407898,0.000834965277117851,0.0730237974018044,-0.496612893950238,"ITGA2"
