"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04740","Olfactory transduction",118,-0.40811832802991,-1.09679762410453,0.269749518304432,0.659176639800266,0.551137488808231,2316,"tags=19%, list=13%, signal=17%","408/1261/138804/143503/5567/26219/8387/390058/83988/6543/2774/81697/144124/283297/7932/26689/26707/282775/26248/283160/26493/284521/817",0.11331290842208
"hsa04210","Apoptosis",131,0.425269485156573,1.0958867151324,0.266,0.658326648586017,0.550426811282595,1743,"tags=16%, list=10%, signal=15%","7132/1512/9020/4792/2081/5293/7157/1520/9131/208/1616/1676/8795/5783/836/60/468/1508/10018/331/3563",0.116739204791222
"hsa04658","Th1 and Th2 cell differentiation",90,0.448998547977986,1.09330056594836,0.290794979079498,0.668602991550582,0.55901886008053,2236,"tags=22%, list=13%, signal=20%","4854/3566/84441/4792/3460/5335/3119/6300/3112/4853/7297/30009/3126/2625/3459/6778/1147/1432/3123/864",0.11378726182188
"hsa04962","Vasopressin-regulated water reabsorption",44,0.480289437109591,1.09300639247131,0.302375809935205,0.677140581441657,0.56615713769678,1069,"tags=11%, list=6%, signal=11%","361/397/1780/1385/5566",0.11331290842208
"hsa00511","Other glycan degradation",15,-0.568640667266856,-1.08940957664637,0.372972972972973,0.738827751196172,0.617733770995697,1963,"tags=27%, list=11%, signal=24%","129807/4758/175/10825",0.0894366833718621
"hsa05417","Lipid and atherosclerosis",202,0.399260139842289,1.08604428922342,0.280241935483871,0.661523480359886,0.553099681845069,1931,"tags=15%, list=11%, signal=13%","7132/929/5908/4615/4792/2081/5293/3654/7157/5335/6347/208/7412/6648/5578/337/8795/836/6300/818/834/468/5452/1536/23643/5906/114609/4314/23118/1147",0.11378726182188
"hsa00220","Arginine biosynthesis",22,0.537672763562797,1.08022760957859,0.348583877995643,0.724303027931066,0.60558965207123,2372,"tags=36%, list=13%, signal=32%","2747/384/2752/790/162417/2744/84706/2746",0.104732821580651
"hsa04144","Endocytosis",230,-0.367944308841401,-1.07605302824428,0.243460764587525,0.638568004330009,0.53390661180949,3138,"tags=19%, list=18%, signal=16%","3134/9101/50855/163/2348/9265/3305/3577/22841/858/5156/1956/23362/116988/128866/26119/408/3799/868/273/60682/7456/23550/50807/57132/30844/2060/8976/3559/58513/138429/1211/10096/5868/6011/832/89853/4088/10564/27128/414189/9815/6643",0.123257226381337
"hsa00515","Mannose type O-glycan biosynthesis",18,-0.554653205027498,-1.07549699396325,0.392670157068063,0.748662332431966,0.625956462879042,2090,"tags=22%, list=12%, signal=20%","55624/84197/84892/10690",0.0847985102819124
"hsa01522","Endocrine resistance",95,0.428134514799919,1.07483411451014,0.316973415132924,0.70057181561226,0.585747989041841,1090,"tags=11%, list=6%, signal=10%","4854/6654/6464/5293/7157/25759/208/1026/5566/6300",0.106729884364606
"hsa05221","Acute myeloid leukemia",66,0.446343984581205,1.07186932583678,0.320366132723112,0.70358891174,0.588270582657779,1108,"tags=11%, list=6%, signal=10%","929/6654/5293/208/5914/1436/862",0.11331290842208
"hsa05415","Diabetic cardiomyopathy",167,0.406300240401553,1.07095075018775,0.297619047619048,0.677140581441657,0.56615713769678,1155,"tags=5%, list=6%, signal=5%","5728/5465/5293/208/5578/6300/818/4695",0.108820126769161
"hsa04966","Collecting duct acid secretion",26,0.504449114587849,1.0687745388419,0.368312757201646,0.738827751196172,0.617733770995697,936,"tags=15%, list=5%, signal=15%","23545/1188/245972/10312",0.0978773277424561
"hsa04922","Glucagon signaling pathway",98,-0.405999619130837,-1.06617464265839,0.328947368421053,0.705284552845528,0.589688307929573,1332,"tags=12%, list=7%, signal=11%","5261/5836/5837/1374/5207/3708/23235/5260/3710/5140/817/5257",0.0992333343771191
"hsa03050","Proteasome",42,-0.460567621262619,-1.06592340103841,0.35621521335807,0.731400467664204,0.611523820358314,3844,"tags=31%, list=22%, signal=24%","5684/5693/5718/5686/5696/5690/5685/5692/5682/5699/10197/5719/23198",0.0937465422491719
"hsa04012","ErbB signaling pathway",83,0.430555447729152,1.06556565291511,0.299349240780911,0.677140581441657,0.56615713769678,1347,"tags=17%, list=8%, signal=16%","6654/867/6464/5293/5335/25759/208/1026/5578/8440/7039/818/25/56924",0.114266502484433
"hsa03460","Fanconi anemia pathway",45,-0.455493692108204,-1.06449628868265,0.354243542435424,0.731400467664204,0.611523820358314,3981,"tags=31%, list=22%, signal=24%","2175/57697/672/4292/2176/9894/7398/51426/57599/2072/116028/83990/3280/545",0.0937465422491719
"hsa03013","Nucleocytoplasmic transport",96,0.427997171656028,1.06285911856474,0.334710743801653,0.708198951824229,0.592125036474737,1950,"tags=17%, list=11%, signal=15%","1915/9631/10921/3841/9984/57122/57187/8021/10482/7175/11269/55746/10250/10189/9972/4927",0.103958471559957
"hsa04213","Longevity regulating pathway - multiple species",58,0.458592351669793,1.06145226677792,0.341935483870968,0.714768752429071,0.597618045766481,1512,"tags=17%, list=8%, signal=16%","81570/5293/23411/2308/208/6648/5566/1979/3065/5564",0.105125131597001
"hsa04727","GABAergic synapse",87,0.427008179584827,1.05563630278741,0.324649298597194,0.705284552845528,0.589688307929573,1733,"tags=11%, list=10%, signal=10%","59345/23710/2571/51764/5578/5566/10681/2752/9568/2775",0.103958471559957
"hsa04260","Cardiac muscle contraction",80,-0.411722944763276,-1.05481864224247,0.364,0.738714476249102,0.61763906182959,2165,"tags=20%, list=12%, signal=18%","4633/3270/1339/23439/7384/480/6543/486/4625/783/55799/9377/29796/84679/444/781",0.096887770327544
"hsa04973","Carbohydrate digestion and absorption",38,0.470986074006183,1.05317864794563,0.364035087719298,0.738714476249102,0.61763906182959,953,"tags=13%, list=5%, signal=12%","477/482/5293/208/3099",0.102449405629826
"hsa03015","mRNA surveillance pathway",81,0.430296528169709,1.05221065229941,0.33130081300813,0.705284552845528,0.589688307929573,2134,"tags=19%, list=12%, signal=16%","23381/124540/10921/5523/5527/2521/8189/5525/80336/10482/11269/10250/10189/5526/53981",0.103576326612592
"hsa04020","Calcium signaling pathway",243,-0.361163792476878,-1.05132129118252,0.302469135802469,0.677140581441657,0.56615713769678,3618,"tags=24%, list=20%, signal=19%","84812/5153/774/7424/3358/5136/2253/136/7416/4773/4772/147/7419/113/1909/51196/185/5156/153/1956/26281/844/7417/4846/4842/3270/6870/5567/9630/219931/155/6869/148/6543/2321/2774/3791/5261/340156/552/27006/255231/91807/6865/2246/886/2065/1133/10800/2149/3708/444/5260/3710/57105/817/4775/5257",0.110122263835536
"hsa05169","Epstein-Barr virus infection",193,0.38941206988206,1.0512001479454,0.329388560157791,0.705284552845528,0.589688307929573,2120,"tags=17%, list=12%, signal=15%","3455/894/9020/7431/4615/9612/4792/5293/3654/7157/7188/3135/208/960/1026/25942/953/3119/57506/836/6300/3112/3065/55080/10018/7297/3126/23118/1147/1432/7128/3123",0.102080107662747
"hsa05031","Amphetamine addiction",67,0.446891471898783,1.05046856607035,0.34,0.714768752429071,0.597618045766481,2051,"tags=22%, list=11%, signal=20%","1386/23411/2903/84152/1385/5578/5566/818/468/2892/3065/814/116443/2902/4128",0.100990587455923
"hsa04382","Cornified envelope formation",179,0.382039325911243,1.04641857422697,0.330724070450098,0.705284552845528,0.589688307929573,889,"tags=9%, list=5%, signal=9%","7122/6282/11240/1284/10686/6271/5523/6280/9517/5527/6274/3911/5525/6276/376497/6275",0.101350743797099
"hsa04917","Prolactin signaling pathway",69,0.440354187922864,1.04412434348868,0.372631578947368,0.738827751196172,0.617733770995697,1090,"tags=12%, list=6%, signal=11%","6654/894/6464/5293/25759/208/3659/6300",0.0985499803531691
